,label,text
916,0,I could ask carlos if we could get more if anybody else can chip in
5186,0,I uploaded mine to Facebook
1482,0,"I'm a guy, browsin is compulsory"
2762,0,I am not sure about night menu. . . I know only about noon menu
87,0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
5350,0,No one interested. May be some business plan.
3936,0,You need to get up. Now.
2041,0,You always make things bigger than they are
3219,0,Don know:)this week i'm going to tirunelvai da.
850,1,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
50,0,What you thinked about me. First time you saw me in class.
1219,0,K..k..i'm also fine:)when will you complete the course?
3027,0,I finished my lunch already. U wake up already?
3687,0,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
1951,0,Oh ic. I thought you meant mary jane.
551,0,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
5141,1,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
1164,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
715,0,He also knows about lunch menu only da. . I know
1640,1,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
5419,0,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
5417,0,Nope. I just forgot. Will show next week
1589,0,At 4. Let's go to bill millers
4876,0,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
5112,1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 
3930,0,Yes. Nigh you cant aha.
3501,1,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
1325,0,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
5133,0,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
2063,0,Is there any training tomorrow?
5266,0,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
3123,1,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
2602,0,Okie
284,0,Okie...
5471,0,Yup
433,1,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
3295,0,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)"
5046,0,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
3553,0,Lol u still feeling sick?
5003,0,You still around? Looking to pick up later
2237,0,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
4261,0,Are you plans with your family set in stone ?
567,0,Oooh bed ridden ey? What are YOU thinking of?
1437,0,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet."
5370,1,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
1246,0,Hello which the site to download songs its urgent pls
4844,0,I need details about that online job.
627,0,How many licks does it take to get to the center of a tootsie pop?
3605,0,Hey morning what you come to ask:-) pa...
5051,0,I will vote for wherever my heart guides me
3623,0,Goin to workout lor... Muz lose e fats... 
1566,0,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
1204,0,Thanks for understanding. I've been trying to tell sura that.
3879,0,What you need. You have a person to give na.
5271,0,So u wan 2 come for our dinner tonight a not?
3563,0,Still chance there. If you search hard you will get it..let have a try :)
5429,0,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
1934,0,R u over scratching it?
2995,0,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
370,0,"Cool, text me when you're ready"
3147,0,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
5139,0,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
3328,0, what number do u live at? Is it 11?
1938,0,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
2387,0,No message..no responce..what happend?
2517,0,Yes.i'm in office da:)
3285,0,ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*
3814,0,Pls i wont belive god.not only jesus.
5191,0,"Sorry, I'll call later"
4509,0,Not able to do anything.
658,0,You will be in the place of that man
325,0,No problem. How are you doing?
757,0,Cant think of anyone with * spare room off * top of my head
3225,0,Sorry da thangam.it's my mistake.
3303,0,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
799,0,Ok i msg u b4 i leave my house.
1685,0,Do you want bold 2 or bb torch
5261,0,I absolutely LOVE South Park! I only recently started watching the office.
2140,0,But i juz remembered i gotta bathe my dog today..
4652,1,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611 
4416,0,"Yeah I should be able to, I'll text you when I'm ready to meet up"
5222,0,5 nights...We nt staying at port step liao...Too ex
1470,0,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
205,0,U call me alter at 11 ok.
3534,0,"Sorry, I'll call later"
887,0,I like to talk pa but am not able to. I dont know y.
3628,0,Still chance there. If you search hard you will get it..let have a try :)
3629,0,Meeting u is my work. . . Tel me when shall i do my work tomorrow
1200,0,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
3422,1,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
204,0,Goodmorning sleeping ga.
424,1,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
4817,0,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
815,1,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
2163,0,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
739,0,Wish i were with you now!
4683,0,"Haha yeah, 2 oz is kind of a shitload"
2459,0,"Cool, I'll text you when I'm on the way"
4419,0,"When you get free, call me"
1223,0,Teach me apps da. When you come to college.
5407,0,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
2697,0,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
2665,0,He remains a bro amongst bros
1667,0,Guess who spent all last night phasing in and out of the fourth dimension
1053,0,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
1655,0,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
3574,1,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
3699,0,S:)but he had some luck.2 catches put down:)
135,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
804,1,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
1816,0,Sian... Aft meeting supervisor got work 2 do liao... U working now?
1003,0,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
5455,0,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
3411,0,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
2186,0,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
1922,0,No current and food here. I am alone also
3186,0,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
2223,0,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
5027,1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
5243,0,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
4269,0,Hey so whats the plan this sat? 
1021,0,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
3087,0,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
550,0,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
4545,0,when you and derek done with class?
383,0,Hey leave it. not a big deal:-) take care.
2736,0,I meant middle left or right?
3490,0,I'm also came to room.
4629,1,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
3567,0,Its ok..come to my home it vl nice to meet and v can chat..
4336,0,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
2951,0,Where are you ? You said you would be here when I woke ... :-(
2832,0,Thanx 4 sending me home...
1510,0,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
4143,0,Infact happy new year. How are you where are you when are we seeing
1184,0,Am i that much bad to avoid like this?
2498,0,Dai what this da.. Can i send my resume to this id.
32,0,K tell me anything about you.
3369,0,"Hey elaine, is today's meeting still on?"
4672,0,"Probably not, I'm almost out of gas and I get some cash tomorrow"
40,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
1196,1,You have 1 new voicemail. Please call 08719181503
4480,0,Erutupalam thandiyachu
1818,0,Well i will watch shrek in 3D!!B)
1543,0,Now press conference da:)
3706,0,Ok. Very good. Its all about making that money.
2373,0,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
3992,0,I am on the way to ur home
2242,0,U buy newspapers already?
152,0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
982,0,Reckon need to be in town by eightish to walk from * carpark.
5073,1,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.
2970,0,Ma head dey swell oh. Thanks for making my day
4493,0,Probably a couple hours tops
2655,0,Its sarcasm.. .nt scarcasim
1129,1,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
459,0,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
2400,0,Oh... Kay... On sat right?
576,1,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
3701,0,Oh...i asked for fun. Haha...take care. ü
2124,1,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
3904,0,Waiting in e car 4 my mum lor. U leh? Reach home already?
1940,1,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB
1016,0,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
3760,0,"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......"
710,1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
4360,0,Ü only send me the contents page...
3608,0,I have no idea where you are
5479,0,Really do hope the work doesnt get stressful. Have a gr8 day.
3125,0,My uncles in Atlanta. Wish you guys a great semester.
335,1,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
2550,0,Yup but not studying surfing lor. I'm in e lazy mode today.
5341,0,And of course you should make a stink!
2513,0,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
1278,0,Dont put your phone on silent mode ok
1861,0,"It could work, we'll reach a consensus at the next meeting"
4494,0,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
277,0,Tell rob to mack his gf in the theater
1681,0,Okay... We wait ah
4872,0,Well. You know what i mean. Texting
3685,0,Dad says hurry the hell up
1336,0,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
378,0,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going
3223,0,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
2702,0,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
477,0,Love you aathi..love u lot..
3306,0,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
2147,0,So can collect ur laptop?
1084,0,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
4446,0,"2 celebrate my bday, y else?"
398,0,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
1558,0,Wat r u doing?
2581,1,U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.
1597,1,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
3903,0,"Right on brah, see you later"
1806,0,God bless.get good sleep my dear...i will pray!
4402,0,Many times we lose our best ones bcoz we are 
2652,0,"Text me when you get off, don't call, my phones having problems"
2068,0,Who's there say hi to our drugdealer
2917,0,What time should I tell my friend to be around?
3343,0,You will go to walmart. I.ll stay.
5168,0,"I‘ve got some salt, you can rub it in my open wounds if you like!"
2536,0,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
520,0,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
3801,1,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
1465,0,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
5333,0,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
3902,0,That depends. How would you like to be treated? :)
1324,0,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
888,0,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
2418,0,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... 
3212,0,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
2169,0,Thx. All will be well in a few months
4998,0,Esplanade lor. Where else...
4309,0,Ha ha - had popped down to the loo when you hello-ed me. Hello!
1206,0,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
2535,0,Ok enjoy . R u there in home.
2871,1,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
1349,0,"Nothing much, chillin at home. Any super bowl plan?"
1333,0,It's ok lar. U sleep early too... Nite...
5539,0,Just sleeping..and surfing
640,0,I had askd u a question some hours before. Its answer
1544,1,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
2825,0,No need to buy lunch for me.. I eat maggi mee..
4631,0,Everybody had fun this evening. Miss you.
5548,0,"No, I was trying it all weekend ;V"
1535,0,Remember on that day..
1639,0,Great comedy..cant stop laughing da:)
5040,0,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
2886,0,Ü still attending da talks?
2785,0,"K, wat s tht incident?"
1886,0,I think asking for a gym is the excuse for lazy people. I jog.
4023,0,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
1601,0,K.then any other special?
3428,0,Haha okay... Today weekend leh... 
1913,0,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
5107,0,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
871,0,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
3721,0,"Yeah why not, is the gang all ready"
4344,0,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
942,0,Theyre doing it to lots of places. Only hospitals and medical places are safe.
619,0,I come n pick ü up... Come out immediately aft ur lesson...
3539,0,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
3399,0,It only does simple arithmetic not percentages.
4176,0,How are you doing. How's the queen. Are you going for the royal wedding
3681,0,I cant pick the phone right now. Pls send a message
4990,0,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
674,0,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
3458,0,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
3001,0,Id onluy matters when getting on from offcampus
1749,0,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
2808,1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
4041,0,I'm at home n ready...
4276,0,Haiyoh... Maybe your hamster was jealous of million
3839,0,Went to pay rent. So i had to go to the bank to authorise the payment.
1075,0,Aight ill get on fb in a couple minutes
1082,0,Can u get pic msgs to your phone?
251,0,Ranjith cal drpd Deeraj and deepak 5min hold
3049,0,Die... Now i have e toot fringe again...
2636,0,Tiwary to rcb.battle between bang and kochi.
5281,0,"And how you will do that, princess? :)"
2597,0,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
1257,0,"Not yet chikku..going to room nw, i'm in bus.."
27,0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
3708,0,Aight do you still want to get money
3396,0,Then i buy.
221,0,Ok no prob. Take ur time.
892,0,I am great princess! What are you thinking about me? :)
4423,0,MMM ... Fuck .... Merry Christmas to me
4693,0,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
2684,0,I'm okay. Chasing the dream. What's good. What are you doing next.
1813,0,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry
2175,0,See? I thought it all through
172,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
3938,0,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
1942,1,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
3128,0,Thats cool. i liked your photos. You are very sexy!
4338,0,on a Tuesday night r u 4 real
4333,0,ALSO TELL HIM I SAID HAPPY BIRTHDAY
535,0,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
1666,0,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
3612,0,No. I.ll meet you in the library
285,0,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
4230,0,Have you bookedthe hut? And also your time off? How are you by the way?
1296,0,TELL HER I SAID EAT SHIT.
